interval,selection,decision,schedule,schedulingtime
59,[],"[(10, 7), (13, 15), (15, 6)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.01989603042602539
60,[],"[(8, 0), (9, 14)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.019572734832763672
61,[],"[(6, 8)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010909080505371094
62,[],[],"[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010293006896972656
63,[],"[(5, 12)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010285377502441406
64,[],"[(12, 14), (13, 15)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (None, None), (13, 15), (14, 5), (15, 6)]",0.010535240173339844
65,[],"[(6, 9), (7, 8), (12, 3)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 4), (12, 3), (13, 15), (14, 5), (15, 6)]",0.011531829833984375
66,[],"[(2, 10), (3, 11)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 4), (12, 3), (13, 15), (14, 5), (15, 6)]",0.011795282363891602
67,[],"[(11, 11)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 6)]",0.019444704055786133
68,[],"[(1, 15), (4, 14), (8, 4)]","[(0, 3), (1, 15), (2, 10), (3, 11), (4, 14), (5, 12), (6, 9), (7, 8), (8, 4), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 6)]",0.017562150955200195
69,[],"[(15, 11)]","[(0, 3), (1, 15), (2, 10), (3, 11), (4, 14), (5, 12), (6, 9), (7, 8), (8, 4), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (None, None)]",0.010731697082519531
70,[],"[(2, 12), (5, 12), (7, 11), (15, 0)]","[(0, 3), (1, 15), (2, 12), (3, 11), (4, 14), (None, None), (6, 9), (None, None), (8, 4), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.011573076248168945
71,[],"[(5, 12), (7, 1)]","[(0, 3), (1, 15), (2, 12), (3, 11), (4, 14), (None, None), (6, 9), (7, 1), (8, 4), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.01049661636352539
72,[],"[(5, 4), (8, 14), (10, 1)]","[(0, 3), (1, 15), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 1), (None, None), (9, 14), (10, 1), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.010416030883789062
73,[],"[(8, 11)]","[(0, 3), (1, 15), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 1), (None, None), (9, 14), (10, 1), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.01082158088684082
74,[],"[(8, 0)]","[(0, 3), (1, 15), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 1), (None, None), (9, 14), (10, 1), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.01649188995361328
75,[],"[(0, 1), (8, 10)]","[(None, None), (1, 15), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 1), (8, 10), (9, 14), (10, 1), (11, 11), (12, 3), (13, 15), (14, 5), (15, 0)]",0.01078343391418457
76,[],"[(0, 3), (8, 0), (9, 6), (10, 7), (11, 4)]","[(None, None), (1, 15), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 1), (8, 0), (9, 6), (10, 7), (11, 4), (12, 3), (13, 15), (14, 5), (15, 0)]",0.01029658317565918
77,[],"[(0, 3), (1, 6), (7, 11), (12, 14), (14, 4)]","[(0, 3), (1, 6), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 4), (12, 14), (13, 15), (None, None), (15, 0)]",0.012310981750488281
78,[],"[(14, 2)]","[(0, 3), (1, 6), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 4), (12, 14), (13, 15), (14, 2), (15, 0)]",0.014063596725463867
79,[],"[(11, 6)]","[(0, 3), (1, 6), (2, 12), (3, 11), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 0)]",0.01059412956237793
80,[],"[(3, 1), (10, 4), (15, 5)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 4), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.01060938835144043
81,[],"[(10, 7)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.01038503646850586
82,[],[],"[(0, 3), (1, 6), (2, 12), (3, 1), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.00994420051574707
83,[],"[(8, 0)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 14), (5, 4), (6, 9), (7, 11), (8, 0), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.01027369499206543
84,[],"[(4, 11), (6, 6), (9, 14), (10, 4)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 11), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 4), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.010593414306640625
85,[],"[(13, 5)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 11), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 4), (11, 6), (12, 14), (13, 5), (14, 2), (15, 5)]",0.009996175765991211
86,[],[],"[(0, 3), (1, 6), (2, 12), (3, 1), (4, 11), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 4), (11, 6), (12, 14), (13, 5), (14, 2), (15, 5)]",0.012804746627807617
87,[],"[(4, 5), (5, 4), (10, 7), (12, 14), (13, 15)]","[(0, 3), (1, 6), (2, 12), (3, 1), (None, None), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.013805389404296875
88,[],"[(4, 10)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 10), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.010720014572143555
